"ID","Email","Email (preferred)","Decision","Application Response","FT or PT","GRE Verbal","GRE Quant","GRE Analytical","Applied Dual Degree","Birth Date","Gender","Ethnicity","Low Income"
6,"rosalia.tarango@this.university.edu",NA,"R","A","ft",164,152,5,"MSSP/MSW","12/15/1987","M","HL","N"
23,"anthony.boles@gmail.com",NA,"A","D","sub",168,130,6,"MSSP/MSW","4/7/1996","F","W","N"
58,"matthew.doppler@Outlook.com","doppler_matthew@gmail.com","R","A","pt",142,130,2.5,"NODUAL","7/11/1994","M","W","N"
55,"shanta.viruet@Outlook.com","viruet_shanta@yahoo.com","A","D","pt",160,158,5.5,"NODUAL","5/14/1987","F","AN","N"
45,"andrew.vovan@yahoo.com",NA,"A","A","ft",152,133,3,"NODUAL","10/13/2000","M","AP","N"
21,"raven.cabral@gmail.com","cabral_raven@yahoo.com","A","A","ft",135,140,5.5,"NODUAL","1/27/1992","F","AN","N"
41,"elle.rauda@yahoo.com","rauda_elle@Outlook.com","R","A","ft",NA,166,3,"NODUAL","12/5/1988","M","HL","N"
16,"nuzha.el-ghani@gmail.com",NA,"W",NA,"ft",149,135,4.5,"NODUAL","2/1/1990","F","ME","N"
61,"rahma.pooser@Outlook.com","pooser_rahma@Outlook.com","R","A","ft",145,146,3.5,"NODUAL","2/12/1985","NB","B","N"
44,"alexander.lewis@this.university.edu","lewis_alexander@gmail.com","A","A","ft",147,160,3.5,"NODUAL","8/22/1988","F","W","N"
65,"kristen.romero-ruiz@gmail.com","romero-ruiz_kristen@gmail.com","A","A","pt",166,143,4,"NODUAL","9/6/1996","F","HL","N"
71,"carloceazar.ayala@Outlook.com","ayala_carloceazar@gmail.com","A","A","pt",169,138,4,"NODUAL","1/1/1985","F","AP","N"
25,"lilly.reid@yahoo.com","reid_lilly@yahoo.com","A","A","ft",166,152,5,"NODUAL","11/19/1989","NB","W","N"
62,"randi.martinez@gmail.com",NA,"A","A","ft",166,156,5.5,"NODUAL","8/24/1992","F","HL","Y"
7,"vinita.kim@this.university.edu","kim_vinita@yahoo.com","A","D","ft",167,157,5.5,"NODUAL","8/12/1990","M","AP","N"
26,"katalina.posey@yahoo.com","posey_katalina@Outlook.com","A","D","ft",131,145,2.5,"NODUAL","1/10/1986","M","AN","N"
9,"daniel.moy@this.university.edu","moy_daniel@gmail.com","A","A","ft",164,155,4,"NODUAL","6/17/1986","M","AP","Y"
69,"cameron.wilde@gmail.com","wilde_cameron@gmail.com","R","A","ft",162,161,3.5,"NODUAL","11/12/1992","NB","W","Y"
63,"alondra.leyva@gmail.com",NA,"A","D","sub",170,170,5,"NODUAL","11/26/1995","NB","HL","N"
29,"naseema.al-hasan@Outlook.com","al-hasan_naseema@gmail.com","A","D","ft",165,132,3,"NODUAL","11/16/1990","F","ME","N"
67,"randall.gustafson@yahoo.com",NA,"A","D","ft",166,146,5.5,"NODUAL","8/19/1996","M","AP","N"
