"ID","Email","Email (preferred)","Decision","Application Response","FT or PT","GRE Verbal","GRE Quant","GRE Analytical","Applied Dual Degree","Birth Date","Gender","Ethnicity","Low Income"
42,"dennis.nguyen@this.university.edu",NA,"A","A","ft",139,131,3,"MSSP/MSW","12/27/1996","F","AP","N"
4,"eva.hodgkinson@yahoo.com","hodgkinson_eva@this.university.edu","A","A","pt",154,136,3.5,"NODUAL","5/28/1986","F","W","N"
75,"cecelia.rea@gmail.com","rea_cecelia@Outlook.com","A","A","ft",139,159,3,"NODUAL","11/2/1986","M","AN","N"
27,"raadi.al-sahli@Outlook.com","al-sahli_raadi@gmail.com","W",NA,"ft",154,154,4,"NODUAL","5/9/1999","F","ME","N"
46,"aaron.whisenhunt@Outlook.com","whisenhunt_aaron@yahoo.com","A","A","sub",135,NA,4.5,"MSSP/MSW","9/8/1995","F","B","N"
77,"prontipp.maestas@this.university.edu","maestas_prontipp@yahoo.com","A","D","pt",148,153,4,"MSSP/MSW","5/15/1991","M","AP","N"
74,"waneesa.el-bacchus@yahoo.com","el-bacchus_waneesa@this.university.edu","A","D","ft",146,168,3.5,"NODUAL","9/5/1997","F","ME","N"
76,"tawnie.jones@Outlook.com",NA,"A","D","pt",164,136,6,"NODUAL","10/15/2000","F","AN","N"
52,"misha.martin@yahoo.com",NA,"A","A","pt",139,169,4,"NODUAL","3/24/1987","M","B","N"
18,"kenneth.boyd@this.university.edu","boyd_kenneth@this.university.edu","A","A","ft",131,133,4.5,"MSSP/MPH","4/28/1986","F","AN","N"
68,"jesse.quinn@yahoo.com","quinn_jesse@this.university.edu","R","D","ft",137,136,3.5,"MSSP/MSW","10/26/1997","F","HL","N"
2,"fidda.el-jabbour@gmail.com","el-jabbour_fidda@Outlook.com","R","A","ft",150,130,6,"NODUAL","1/25/1998","M","ME","N"
48,"halle.reyad@Outlook.com",NA,"A","A","ft",141,149,5,"NODUAL","7/15/1991","F","B","N"
53,"dalene.copley@this.university.edu","copley_dalene@this.university.edu","A","D","pt",NA,NA,3.5,"NODUAL","3/10/1995","NB","AN","Y"
11,"ramisa.manigold@gmail.com","manigold_ramisa@Outlook.com","A","A","ft",137,156,3,"NODUAL","12/23/2000","F","AP","Y"
72,"dovile.schweizer@this.university.edu",NA,"A","A","ft",138,150,5.5,"NODUAL","8/3/1987","M","W","N"
49,"clinton.martinez@gmail.com","martinez_clinton@Outlook.com","A","D","pt",NA,148,5,"NODUAL","4/5/1998","NB","AN","Y"
33,"whitney.waldon@Outlook.com","waldon_whitney@yahoo.com","A","A","ft",145,170,6,"NODUAL","6/8/1995","M","B","N"
3,"stevie.lewis@gmail.com",NA,"A","D","ft",136,138,5,"NODUAL","7/23/1987","M","AN","Y"
